Loai,So,DungBoi_Linux,JX1_DangDungChoGi,MucDo,CachXuLy,PhamVi
ITEM,"6,1,2117","[satthu] 6,1,2117 = ""Long Huyết Hoàn"" | script\missions\boss\bigboss.lua:52","JX1 cung so = ""Xảo quả"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2126",TRUNG NANG,"Anh xa 6,1,2117 -> 6,1,2126 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2126","[satthu] 6,1,2126 = ""Nhất Kỷ Càn Khôn Phù"" | script\missions\boss\bigboss.lua:39","JX1 cung so = ""Long Huyết Hoàn"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2135",TRUNG NANG,"Anh xa 6,1,2126 -> 6,1,2135 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2127","[satthu] 6,1,2127 = ""Bắc Đẩu Luyện Kim Thuật (Quyển 1)"" | script\missions\boss\bigboss.lua:31","JX1 cung so = ""<<未翻译>>"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2136",TRUNG NANG,"Anh xa 6,1,2127 -> 6,1,2136 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,215","[satthu+vuotai] 6,1,215 = ""Càn Khôn Tạo Hóa Đan (đại)"" | script\missions\boss\bigboss.lua:85; script\missions\challengeoftime\chuangguang30.lua:44","JX1 cung so = ""Càn Khôn Tạo Hóa Đan (trung)"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,214",TRUNG NANG,"!!! TEN GAN GIONG - RAT DE BO SOT KHI DUYET TAY. Anh xa 6,1,215 -> 6,1,214 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2219","[satthu] 6,1,2219 = ""Càn Khôn Song Tuyệt Bội"" | script\missions\boss\bigboss.lua:65","JX1 cung so = ""<<未翻译>>"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2228",TRUNG NANG,"Anh xa 6,1,2219 -> 6,1,2228 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2347","[satthu] 6,1,2347 = ""Sát Thủ Bí Bảo"" | script\task\tollgate\killer\lib_killlevel.lua:105","JX1 cung so = ""Khấp Địa Quần lễ hộp"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2356",TRUNG NANG,"Anh xa 6,1,2347 -> 6,1,2356 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2348","[satthu] 6,1,2348 = ""Huyền Thiên Chùy"" | script\task\tollgate\killer\shashou_mibao.lua:21(ConsumeItem)","JX1 cung so = ""Sát Thủ Giản lễ hộp"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2357",TRUNG NANG,"Anh xa 6,1,2348 -> 6,1,2357 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2350","[satthu] 6,1,2350 = ""Tử Mãng Lệnh"" | script\task\tollgate\killer\mibao_head.lua:12","JX1 cung so = ""Hộp bánh chưng"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2359",TRUNG NANG,"Anh xa 6,1,2350 -> 6,1,2359 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2351","[satthu] 6,1,2351 = ""Huyền Viên Lệnh"" | script\task\tollgate\killer\mibao_head.lua:13","JX1 cung so = ""Hồng Bao Đoan Ngọ"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2360",TRUNG NANG,"Anh xa 6,1,2351 -> 6,1,2360 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2352","[satthu] 6,1,2352 = ""Thương Lang Lệnh"" | script\task\tollgate\killer\mibao_head.lua:14","JX1 cung so = ""Tiểu Hồng Hoa Đoan Ngọ"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2361",TRUNG NANG,"Anh xa 6,1,2352 -> 6,1,2361 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2353","[satthu] 6,1,2353 = ""Vân Lộc Lệnh"" | script\task\tollgate\killer\mibao_head.lua:15","JX1 cung so = ""Lễ Hộp Đoan Ngọ"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2362",TRUNG NANG,"Anh xa 6,1,2353 -> 6,1,2362 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2527","[satthu] 6,1,2527 = ""Hồi thiên tái tạo lễ bao"" | script\missions\boss\bigboss.lua:84","JX1 cung so = ""Cao thiểm hoàn lễ bao"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2536",TRUNG NANG,"Anh xa 6,1,2527 -> 6,1,2536 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2571","[phonglangdo] 6,1,2571 = ""Thư của Long Nhi"" | script\activitysys\config\32\talkdailytask.lua:108; script\activitysys\config\32\talkdailytask.lua:174; script\activitysys\config\32\talkdailytask.lua:178","JX1 cung so = ""Huyền Cơ Bảo Đồ Cẩm Nang ( nhỏ)"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2580",TRUNG NANG,"Anh xa 6,1,2571 -> 6,1,2580 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2742","[vuotai] 6,1,2742 = ""Bảo Rương Vượt ải"" | script\missions\challengeoftime\award.lua:90","JX1 cung so = ""Bảo Rương Tử Mãng Khí Giới"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3360",TRUNG NANG,"!!! TEN GAN GIONG - RAT DE BO SOT KHI DUYET TAY. Anh xa 6,1,2742 -> 6,1,3360 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2743","[phonglangdo] 6,1,2743 = ""Bảo Rương Thủy Tặc"" | script\missions\fengling_ferry\mission.lua:120","JX1 cung so = ""Tử Mãng Giám Định Phù"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3361",TRUNG NANG,"Anh xa 6,1,2743 -> 6,1,3361 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2744","[vuotai] 6,1,2744 = ""Chìa Khóa Như ý"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:18(tup3)","JX1 cung so = ""Tử Mãng Quy Nguyên Phù"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3362",TRUNG NANG,"Anh xa 6,1,2744 -> 6,1,3362 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2823","[satthu] 6,1,2823 = ""Huy Chương Chiến Công"" | script\task\tollgate\killer\lib_killlevel.lua:118","JX1 cung so = ""越南自定义道具154"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1827;6,1,3441;6,1,4825",TRUNG NANG,"Anh xa 6,1,2823 -> 6,1,1827;6,1,3441;6,1,4825 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2825","[satthu] 6,1,2825 = ""Cây Bút"" | script\task\tollgate\killer\lib_killlevel.lua:119","JX1 cung so = ""越南自定义道具156"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2183;6,1,3443;6,1,3658;6,1,4048",TRUNG NANG,"Anh xa 6,1,2825 -> 6,1,2183;6,1,3443;6,1,3658;6,1,4048 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2826","[satthu] 6,1,2826 = ""Phù Hiệu"" | script\task\tollgate\killer\lib_killlevel.lua:120","JX1 cung so = ""越南自定义道具104"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3444",TRUNG NANG,"Anh xa 6,1,2826 -> 6,1,3444 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2952","[satthu] 6,1,2952 = ""Kích Công Trợ Lực Hoàn"" | script\missions\boss\bigboss.lua:86","JX1 cung so = ""越南自定义道具283"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3570",TRUNG NANG,"Anh xa 6,1,2952 -> 6,1,3570 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2953","[satthu] 6,1,2953 = ""Âm Dương Hoạt Huyết Đơn"" | script\missions\boss\bigboss.lua:87","JX1 cung so = ""Chìa khóa vàng"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3571",TRUNG NANG,"Anh xa 6,1,2953 -> 6,1,3571 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,3022","[satthu] 6,1,3022 = ""Thiên Linh Đơn"" | script\missions\boss\bigboss.lua:97","JX1 cung so = ""越南自定义道具353"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3640",TRUNG NANG,"Anh xa 6,1,3022 -> 6,1,3640 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,3203","[phonglangdo+vuotai] 6,1,3203 = ""Hộ Mạch Đơn"" | script\activitysys\config\32\variables.lua:15; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:63","JX1 cung so = ""越南自定义道具534"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3821;6,1,4844",TRUNG NANG,"Anh xa 6,1,3203 -> 6,1,3821;6,1,4844 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,3454","[satthu] 6,1,3454 = ""Thuốc tăng trưởng"" | script\missions\boss\bigboss.lua:95","JX1 cung so = ""Ngũ Sắc Hoa"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,4072",TRUNG NANG,"Anh xa 6,1,3454 -> 6,1,4072 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,3810","[satthu+vuotai] 6,1,3810 = ""Tinh Thiết Khoáng"" | script\task\tollgate\killer\kill_level.lua:92; script\missions\challengeoftime\chuangguang30.lua:40; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:68","JX1 cung so = ""稽查令"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,4428",TRUNG NANG,"Anh xa 6,1,3810 -> 6,1,4428 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,3811","[satthu+vuotai] 6,1,3811 = ""Tinh Tinh Khoáng"" | script\task\tollgate\killer\kill_level.lua:91; script\missions\challengeoftime\chuangguang30.lua:39; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:67","JX1 cung so = ""手中线"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,4429",TRUNG NANG,"Anh xa 6,1,3811 -> 6,1,4429 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,399","[satthu] 6,1,399 = ""Sát Thủ lệnh"" | script\task\tollgate\killer\lib_killlevel.lua:103(AddItem); script\task\tollgate\killer\lib_killlevel.lua:73(AddItem); script\task\tollgate\killer\lib_killlevel.lua:77(AddItem)","JX1 cung so = ""Sát thủ giản"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 2,1,399;6,1,398",TRUNG NANG,"!!! TEN GAN GIONG - RAT DE BO SOT KHI DUYET TAY. Anh xa 6,1,399 -> 2,1,399;6,1,398 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,400","[satthu+vuotai] 6,1,400 = ""Sát thủ giản"" | script\task\tollgate\killer\nieshichen.lua:204(AddItem); script\missions\challengeoftime\npc\dragonboat_main.lua:136(CalcEquiproomItemCount)","JX1 cung so = ""Sư đồ thiếp"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 2,1,400;6,1,399",TRUNG NANG,"Anh xa 6,1,400 -> 2,1,400;6,1,399 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,4134","[vuotai] 6,1,4134 = ""Chân Nguyên Đan"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:59","JX1 cung so = ""Lệnh bài Bắc Đẩu - Viêm Đế cấp 2"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3926;6,1,4752",TRUNG NANG,"Anh xa 6,1,4134 -> 6,1,3926;6,1,4752 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,4149","[satthu] 6,1,4149 = ""Sách kĩ năng cấp 150 cấp 22"" | script\missions\boss\bigboss.lua:64","JX1 cung so = ""春季限供面具—初窥门径"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,4755",TRUNG NANG,"Anh xa 6,1,4149 -> 6,1,4755 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,906","[satthu] 6,1,906 = ""Quả Huy Hoàng (cao)"" | script\task\tollgate\killer\mibao_head.lua:19","JX1 cung so = ""Quả Huy Hoàng (trung)"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,3440;6,1,907",TRUNG NANG,"!!! TEN GAN GIONG - RAT DE BO SOT KHI DUYET TAY. Anh xa 6,1,906 -> 6,1,3440;6,1,907 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,907","[satthu] 6,1,907 = ""Quả Hoàng Kim"" | script\missions\boss\bigboss.lua:37; script\missions\boss\bigboss.lua:96; script\task\tollgate\killer\mibao_head.lua:20","JX1 cung so = ""Quả Huy Hoàng (cao)"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,908",TRUNG NANG,"!!! TEN GAN GIONG - RAT DE BO SOT KHI DUYET TAY. Anh xa 6,1,907 -> 6,1,908 truoc khi port (neu khong se phat NHAM do)",
MAP,"337,338,339","[phonglangdo] boatMAPS = {337,338,339} - script\missions\fengling_ferry\fld_head.lua:12; boss.lua:28,44,60","JX1 DANG DUNG: MAP_DUATHUYEN_PLD = {337,338,339} cua Phong Lang Do ban VN (script\tinhnang\phonglangdo\lib_phonglangdo.lua:108-112), mission 4 (missions.txt dong 4 -> mission04.lua), MS_PLANGDO = 4 (lib_task.lua:285)",TRUNG NANG,Hai he Phong Lang Do cung 3 map ben thuyen. Phai go han ban VN (ke ca addnpcphonglangdo() o script\startgame.lua:100 dang spawn 6 NPC Thuyen phu moi lan khoi dong) truoc khi tha ban JX2 vao.,LOI
MAP,480..489 (10 map),[vuotai] tbLevelMaps[2] = {480..495} - script\missions\challengeoftime\include.lua:97-102,"JX1 DANG DUNG: MAP_VUOTAI = {480,481,...,489} cua Vuot Ai ban VN (script\tinhnang\vuot_ai\lib_vuotai.lua:33-44), mo boi mission 3 (settings\task\missions.txt dong 3 -> script\missions\mission03.lua) - MS_VUOTAI = 3 (script\lib\lib_task.lua:284)",TRUNG NANG,"HAI he Vuot Ai cung chiem 10 map. Phai chon: (a) go han Vuot Ai VN, hoac (b) doi tbLevelMaps[2] sang 490..500 (MapList.ini co san 464..500 deu la 'sat thu de thi luyen'). Lich Vuot Ai VN dang bi chu thich o script\timerserver.lua:79 nhung mission 3 VAN dang ky.",LOI
NPC_TPL,1032,"[vuotai] npcs.txt ban Linux dong 1033 = ""(cao cấp) tiểu Boss nam 7""","JX1 settings\npcs.txt dong 1033 = ""Boss New Dragon 165"" (da bi dot khac ghi de)",TRUNG NANG,Doi dai tbRangeId cua vuot ai HOAC ghi de lai 3 dong npcs.txt - phai hoi chu game vi Boss New Dragon dang song,
NPC_TPL,1033,"[vuotai] npcs.txt ban Linux dong 1034 = ""(cao cấp) tiểu Boss nam 8""","JX1 settings\npcs.txt dong 1034 = ""Boss New Dragon 166 8"" (da bi dot khac ghi de)",TRUNG NANG,Doi dai tbRangeId cua vuot ai HOAC ghi de lai 3 dong npcs.txt - phai hoi chu game vi Boss New Dragon dang song,
NPC_TPL,1034,"[vuotai] npcs.txt ban Linux dong 1035 = ""(cao cấp) tiểu Boss nữ 1""","JX1 settings\npcs.txt dong 1035 = ""Boss New Dragon 167"" (da bi dot khac ghi de)",TRUNG NANG,Doi dai tbRangeId cua vuot ai HOAC ghi de lai 3 dong npcs.txt - phai hoi chu game vi Boss New Dragon dang song,
TASK,88,[phonglangdo+satthu+vuotai] (so truc tiep) | script\task\metempsychosis\task_func.lua:84,"Linux 88 = 4 byte don (Strg/Dex/Vit/Eng) do nhiem vu thuong truc tiep, doc bang GetByte(Utask88,1..4) (task_func.lua:84-91). JX1 88 = T_TimVatPham (Da Tau tim vat pham, lib_task.lua:111, global\npcchucnang\datau.lua:43,48). HAI NGHIA HOAN TOAN KHAC.",TRUNG NANG,Doi so cho ve chuyen sinh (dai trong 4140..4199) HOAC bo han ham zhuansheng_clear_prop khi port. Neu port thang: chuyen sinh se doc bo dem Da Tau lam diem tiem nang => hong chi so nhan vat.,HO TRO
ITEM,"0,11,450","[satthu] 0,11,450 = ""Mặt nạ Đại Tướng quân"" | script\missions\boss\bigboss.lua:36; script\missions\boss\bigboss.lua:50","JX1 KHONG co bo so nay; vat pham dung ten nam o 0,11,44;0,11,45",TRUNG NHE,"Anh xa 0,11,450 -> 0,11,44;0,11,45",
ITEM,"0,11,647","[satthu] 0,11,647 = ""Mặt nạ chiến trường Vương Giả"" | script\missions\boss\bigboss.lua:73","JX1 KHONG co bo so nay; vat pham dung ten nam o 0,11,64",TRUNG NHE,"Anh xa 0,11,647 -> 0,11,64",
ITEM,"0,11,828","[satthu] 0,11,828 = ""Mặt nạ chiến trường Bá Giả"" | script\missions\boss\bigboss.lua:74","JX1 KHONG co bo so nay; vat pham dung ten nam o 0,11,82",TRUNG NHE,"Anh xa 0,11,828 -> 0,11,82",
ITEM,"1,6,1","[vuotai] 1,6,1 = ""Phổ Độ Mật Tịch"" | script\missions\challengeoftime\npc\dragonboat_main.lua:137(ConsumeEquiproomItem)","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,59",TRUNG NHE,"Anh xa 1,6,1 -> 6,1,59",
ITEM,"6,0,3","[satthu+vuotai] 6,0,3 = ""Đại Lực hoàn"" | script\missions\boss\bigboss.lua:54; script\task\tollgate\killer\kill_level.lua:105; script\task\tollgate\killer\mibao_head.lua:16","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,3",TRUNG NHE,"Anh xa 6,0,3 -> 6,1,3",
ITEM,"6,0,6","[satthu+vuotai] 6,0,6 = ""Phi Tốc hoàn"" | script\missions\boss\bigboss.lua:53; script\task\tollgate\killer\kill_level.lua:106; script\task\tollgate\killer\mibao_head.lua:17","JX1 KHONG co bo so nay; vat pham dung ten nam o 2,0,7;6,1,6",TRUNG NHE,"Anh xa 6,0,6 -> 2,0,7;6,1,6",
ITEM,"6,1,30006","[vuotai] 6,1,30006 = ""Đồ Phổ Tinh Sương Y"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:73","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4862",TRUNG NHE,"Anh xa 6,1,30006 -> 6,1,4862",
ITEM,"6,1,30191","[vuotai] 6,1,30191 = ""Chìa khóa vàng"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:19(tup3)","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,2953",TRUNG NHE,"Anh xa 6,1,30191 -> 6,1,2953",
ITEM,"6,1,30227","[phonglangdo] 6,1,30227 = ""Chân Nguyên Đơn (tiểu)"" | script\activitysys\config\32\variables.lua:11","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4845",TRUNG NHE,"Anh xa 6,1,30227 -> 6,1,4845",
ITEM,"6,1,30228","[phonglangdo+vuotai] 6,1,30228 = ""Chân Nguyên Đơn (trung)"" | script\activitysys\config\32\variables.lua:12; script\missions\fengling_ferry\fld_head.lua:123; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:60","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4846",TRUNG NHE,"Anh xa 6,1,30228 -> 6,1,4846",
ITEM,"6,1,30229","[phonglangdo+vuotai] 6,1,30229 = ""Chân Nguyên Đơn (đại)"" | script\activitysys\config\32\variables.lua:13; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:61","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,2991;6,1,4847",TRUNG NHE,"Anh xa 6,1,30229 -> 6,1,2991;6,1,4847",
ITEM,"6,1,30289","[phonglangdo+vuotai] 6,1,30289 = ""Huyết Long Đằng"" | script\activitysys\config\32\variables.lua:16; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:64; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:65","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,3051;6,1,3946;6,1,4848",TRUNG NHE,"Anh xa 6,1,30289 -> 6,1,3051;6,1,3946;6,1,4848",
ITEM,"6,1,30301","[phonglangdo+vuotai] 6,1,30301 = ""Hỗn nguyên chân đơn"" | script\activitysys\config\32\variables.lua:14; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:62","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4857",TRUNG NHE,"Anh xa 6,1,30301 -> 6,1,4857",
ITEM,"6,1,30449","[satthu] 6,1,30449 = ""Thiên Sơn Thánh Thủy (đại)"" | script\missions\boss\bigboss.lua:67","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,3211",TRUNG NHE,"Anh xa 6,1,30449 -> 6,1,3211",
ITEM,"6,1,30505","[vuotai] 6,1,30505 = ""Đồ Phổ Tinh Sương Khí Giới"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:74","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4863",TRUNG NHE,"Anh xa 6,1,30505 -> 6,1,4863",
ITEM,"6,1,30506","[satthu+vuotai] 6,1,30506 = ""Tinh Sương Lệnh"" | script\missions\boss\bigboss.lua:109; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:71","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4860",TRUNG NHE,"Anh xa 6,1,30506 -> 6,1,4860",
ITEM,"6,1,30507","[satthu+vuotai] 6,1,30507 = ""Huyền Thiết"" | script\missions\boss\bigboss.lua:110; script\missions\challengeoftime\item\chuangguanbaoxiang.lua:72","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4861",TRUNG NHE,"Anh xa 6,1,30507 -> 6,1,4861",
ITEM,"6,1,30529","[vuotai] 6,1,30529 = ""Đồ Phổ Đằng Long Y"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:69","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4858",TRUNG NHE,"Anh xa 6,1,30529 -> 6,1,4858",
ITEM,"6,1,30537","[vuotai] 6,1,30537 = ""Đồ Phổ Đằng Long Khí Giới"" | script\missions\challengeoftime\item\chuangguanbaoxiang.lua:70","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4859",TRUNG NHE,"Anh xa 6,1,30537 -> 6,1,4859",
ITEM,"6,1,30557","[satthu+vuotai] 6,1,30557 = ""Túi Dược Phẩm"" | script\missions\boss\bigboss.lua:83; script\task\tollgate\killer\kill_level.lua:104; script\missions\challengeoftime\chuangguang30.lua:43","JX1 KHONG co bo so nay; vat pham dung ten nam o 6,1,4813",TRUNG NHE,"Anh xa 6,1,30557 -> 6,1,4813",
