Faction	TaskLevel	TaskStep	TaskName	TaskRequirements	TaskPosition	TaskAward
 Hoa Sơn	30	20	Băng Tàm Ngọc Lộ Cao (3/6)	Đi đến Kiếm Các Tây Bắc đánh bại cường đạo, cướp lại Băng Tàm Thuế	Lận Vân My (987/163/189), ông chủ hiệu thuốc Phượng Tường (1/200/199), cường đạo (3/120/242)	Kỹ năng cấp 30 phái Hoa Sơn
 Hoa Sơn	30	30	Băng Tàm Ngọc Lộ Cao (4/6)	Đi Phượng Tường đem Băng Tàm Thuế nộp cho ông chủ hiệu thuốc	Lận Vân My (987/163/189), ông chủ hiệu thuốc Phượng Tường (1/200/199), cường đạo (3/120/242)	Kỹ năng cấp 30 phái Hoa Sơn
 Hoa Sơn	30	40	Băng Tàm Ngọc Lộ Cao (5/6)	Đối thoại với ông chủ hiệu thuốc Phượng Tường 1 lần nữa để nhận Băng Tàm Ngọc Lộ Cao đã chế tạo xong	Lận Vân My (987/163/189), ông chủ hiệu thuốc Phượng Tường (1/200/199), cường đạo (3/120/242)	Kỹ năng cấp 30 phái Hoa Sơn
 Hoa Sơn	30	50	Băng Tàm Ngọc Lộ Cao (6/6)	Về lại phái Hoa Sơn đem Băng Tàm Ngọc Lộ Cao nộp cho Lận Vân My	Lận Vân My (987/163/189), ông chủ hiệu thuốc Phượng Tường (1/200/199), cường đạo (3/120/242)	Kỹ năng cấp 30 phái Hoa Sơn
 Hoa Sơn	40	0	Vân Tử Trắc Thu Bình (1/4)	Đối thoại với Từ Mộ của phái Hoa Sơn để nhận nhiệm vụ môn phái Hoa Sơn cấp 40	Thẩm Mặc (987/179/185)	Kỹ năng cấp 40 phái Hoa Sơn
 Hoa Sơn	40	10	Vân Tử Trắc Thu Bình (2/4)	Đến Phượng Tường tìm ông chủ tiệm tạp hóa hỏi thông tin về cờ tinh xảo	Thẩm Mặc (987/179/185), ông chủ tiệm tạp hóa Phượng Tường (1/195/200)	Kỹ năng cấp 40 phái Hoa Sơn
 Hoa Sơn	40	20	Vân Tử Trắc Thu Bình (3/4)	Đi đến chỗ của Lưu Viên Ngoại ở Phượng Tường để hỏi về thông tin của cờ, trả lời đúng 3 câu hỏi	Thẩm Mặc (987/179/185), ông chủ tiệm tạp hóa Phượng Tường (1/195/200), Lưu Viên Ngoại (1/199/207)	Kỹ năng cấp 40 phái Hoa Sơn
 Hoa Sơn	40	60	Vân Tử Trắc Thu Bình (4/4)	Về lại phái Hoa Sơn đem Vân Tử Trắc Thu Bình nộp cho Thẩm Mặc	Thẩm Mặc (987/179/185), ông chủ tiệm tạp hóa Phượng Tường (1/195/200), Lưu Viên Ngoại (1/199/207)	Kỹ năng cấp 40 phái Hoa Sơn
 Hoa Sơn	50	0	Vĩnh Lạc Phong Vân (1/5)	Đối thoại với Lận Hạo Thiên của phái Hoa Sơn để nhận nhiệm vụ môn phái Hoa Sơn cấp 50	Lận Hạo Thiên (987/170/191)	Kỹ năng cấp 50 phái Hoa Sơn
 Hoa Sơn	50	10	Vĩnh Lạc Phong Vân (2/5)	Đến Vĩnh Lạc trấn đối thoại với Hoàng Thúc, Đổng Đại Thúc và Thư Bà Bà để tìm hiểu tình hình	Lận Hạo Thiên (987/170/191), Hoàng Thúc (99/203/198), Đổng Đại Thúc (99/198/200), Thư Bà Bà (99/205/206)	Kỹ năng cấp 50 phái Hoa Sơn
 Hoa Sơn	50	20	Vĩnh Lạc Phong Vân (3/5)	Đi đến động Kim Quang, kích sát Sơn Phỉ và lấy lại 3 phần tài sản của dân làng	Lận Hạo Thiên (987/170/191), Hoàng Thúc (99/203/198), Đổng Đại Thúc (99/198/200), Thư Bà Bà (99/205/206), Sơn Phỉ (4/202/192)	Kỹ năng cấp 50 phái Hoa Sơn
 Hoa Sơn	50	30	Vĩnh Lạc Phong Vân (4/5)	Về lại Vĩnh Lạc trấn đem tài sản  trả cho Hoàng Thúc, Đổng Đại Thúc, Thư Bà Bà	Lận Hạo Thiên (987/170/191), Hoàng Thúc (99/203/198), Đổng Đại Thúc (99/198/200), Thư Bà Bà (99/205/206), Sơn Phỉ (4/202/192)	Kỹ năng cấp 50 phái Hoa Sơn
 Hoa Sơn	50	40	Vĩnh Lạc Phong Vân (5/5)	Về lại phái Hoa Sơn phục mệnh với Lận Hạo Thiên	Lận Hạo Thiên (987/170/191), Hoàng Thúc (99/203/198), Đổng Đại Thúc (99/198/200), Thư Bà Bà (99/205/206), Sơn Phỉ (4/202/192)	Kỹ năng cấp 50 phái Hoa Sơn
 Hoa Sơn	60	0	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (1/10)	Đối thoại với Nam Cung Tuyệt của phái Hoa Sơn để nhận nhiệm vụ Xuất Sư Hoa Sơn	Nam Cung Tuyệt (987/177/191)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	10	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (2/10)	Xem cẩm nang	Nam Cung Tuyệt (987/177/191)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	20	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (3/10)	Đi đến chỗ Ân Kiếm Thu của phái Hoa Sơn hỗ trợ và giúp sửa Thần Kiếm	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	30	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (4/10)	Đến động Tuyết Báo kích sát Điếu Tình Bạch Hổ lấy máu Bạch Hổ	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	40	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (5/10)	Về lại phái Hoa Sơn đem máu Bạch Hổ giao cho Ân Kiếm Thu	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	50	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (6/10)	Xem cẩm nang	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	60	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (7/10)	Đến thác nước phía sau núi phái Hoa Sơn để tịnh tâm	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207), thác nước (987/184/177)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	70	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (8/10)	Xem cẩm nang	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207), thác nước (987/184/177)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	80	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (9/10)	Đi đến Kiếm Các Tây Nam kích sát phản đồ phái Hoa Sơn Khúc Vô Hình	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207), thác nước (987/184/177), Khúc Vô Hình (19/430/227)	Xuất Sư, 120 điểm Danh Vọng
 Hoa Sơn	60	90	Nhiệm vụ Xuất Sư - Cẩm nang nghiệm chân tri (10/10)	Về lại phái Hoa Sơn phục mệnh với Nam Cung Tuyệt	Nam Cung Tuyệt (987/177/191), Ân Kiếm Thu (987/171/182), Điếu Tình Bạch Hổ (145/191/207), thác nước (987/184/177), Khúc Vô Hình (19/430/227)	Xuất Sư, 120 điểm Danh Vọng
